module,feature,loading,abs_loading,rank_abs
rna_module_002,USP21,0.013594619261700153,0.013594619261700153,21
rna_module_002,SF1,0.013584122059015971,0.013584122059015971,22
rna_module_002,UBAP2L,0.013443807449294373,0.013443807449294373,23
rna_module_002,YWHAQ,0.01338464038751829,0.01338464038751829,24
rna_module_002,TSPYL4,0.0132567840016595,0.0132567840016595,25
rna_module_003,ADAMTS4,0.018085248277752153,0.018085248277752153,1
rna_module_003,ADAM12,0.017948860494519558,0.017948860494519558,2
rna_module_003,GALNT5,0.017724856062682953,0.017724856062682953,3
rna_module_003,COL12A1,0.01757044135040516,0.01757044135040516,4
rna_module_003,GUCY1A1,0.01743967375267125,0.01743967375267125,5
rna_module_003,TNC,0.01741508980745106,0.01741508980745106,6
rna_module_003,FOXF1,0.017266506658334218,0.017266506658334218,7
rna_module_003,COLEC12,0.017241783830614605,0.017241783830614605,8
rna_module_003,SPINT4,0.017219154786663023,0.017219154786663023,9
rna_module_003,COL5A2,0.017163110678832322,0.017163110678832322,10
rna_module_003,LINC01605,0.01709152363191125,0.01709152363191125,11
rna_module_003,COLEC10,0.017073677077796577,0.017073677077796577,12
rna_module_003,AC018634,0.01706169991614973,0.01706169991614973,13
rna_module_003,COL1A2,0.017027956852023143,0.017027956852023143,14
rna_module_003,MEP1A,0.017024006369023542,0.017024006369023542,15
rna_module_003,HEPH,0.016998045300614183,0.016998045300614183,16
rna_module_003,VIP,0.016990709701737945,0.016990709701737945,17
rna_module_003,COL3A1,0.016965894902972824,0.016965894902972824,18
rna_module_003,DSG3,0.01689193126882457,0.01689193126882457,19
rna_module_003,SELE,0.016869802839402027,0.016869802839402027,20
rna_module_003,GREM2,0.016801124281211118,0.016801124281211118,21
rna_module_003,LINC01082,0.01679907024645685,0.01679907024645685,22
rna_module_003,ELOA3,0.016771194274862292,0.016771194274862292,23
rna_module_003,AL355379,0.01676250112694483,0.01676250112694483,24
rna_module_003,FENDRR,0.01676144288396107,0.01676144288396107,25
rna_module_004,AC104619,0.0192220867965858,0.0192220867965858,1
rna_module_004,RPS17P5,0.017365080246337004,0.017365080246337004,2
rna_module_004,GAPDHP66,0.017228856425456632,0.017228856425456632,3
rna_module_004,AC092670,0.017041035966032802,0.017041035966032802,4
rna_module_004,RPS3AP7,0.01702459389137796,0.01702459389137796,5
rna_module_004,AC074085,0.01682081461104592,0.01682081461104592,6
rna_module_004,GAPDHP21,0.01662961994893356,0.01662961994893356,7
rna_module_004,RANP1,0.01623247890656637,0.01623247890656637,8
rna_module_004,PHBP7,0.016186479544182304,0.016186479544182304,9
rna_module_004,GAPDHP44,0.01618184560997769,0.01618184560997769,10
rna_module_004,RPL13AP6,0.015914299162670835,0.015914299162670835,11
rna_module_004,CHCHD2P8,0.015829313968777542,0.015829313968777542,12
rna_module_004,AL596275,0.015565214691309132,0.015565214691309132,13
rna_module_004,AC104212,0.015431342915414877,0.015431342915414877,14
rna_module_004,PHBP21,0.01520496435646427,0.01520496435646427,15
rna_module_004,ST13P19,0.015195536362220709,0.015195536362220709,16
rna_module_004,CHCHD2P6,0.015185455629190839,0.015185455629190839,17
rna_module_004,AL603825,0.015143479129640446,0.015143479129640446,18
rna_module_004,AC008802,0.015117376866299293,0.015117376866299293,19
rna_module_004,ATP5MC2P4,0.015090532715714146,0.015090532715714146,20
rna_module_004,RPS2P48,0.015078493076510347,0.015078493076510347,21
rna_module_004,RPS3AP25,0.015058361564518076,0.015058361564518076,22
rna_module_004,RPS7P7,0.015012674074024224,0.015012674074024224,23
rna_module_004,RPS3AP44,0.01498672564743445,0.01498672564743445,24
rna_module_004,AP000936,0.014931371306697926,0.014931371306697926,25
rna_module_005,AC010300,0.017771844520284293,0.017771844520284293,1
rna_module_005,AC008731,0.017394459127668144,0.017394459127668144,2
rna_module_005,AC092620,0.016927432040258338,0.016927432040258338,3
rna_module_005,MRPS21P8,0.01682413921090791,0.01682413921090791,4
rna_module_005,AC002094,0.016611747591878615,0.016611747591878615,5
rna_module_005,SLC25A5,-0.016219525524518576,0.016219525524518576,6
rna_module_005,AC126773,0.016046421954298062,0.016046421954298062,7
rna_module_005,RPL9P2,0.01588178876493984,0.01588178876493984,8
rna_module_005,AC002542,0.015769285951727715,0.015769285951727715,9
rna_module_005,SND1-IT1,0.015763082803294744,0.015763082803294744,10
rna_module_005,FDPS,-0.015746593680772906,0.015746593680772906,11
rna_module_005,TUBA1C,-0.015746317275976463,0.015746317275976463,12
rna_module_005,TAGLN2,-0.015505863600043744,0.015505863600043744,13
rna_module_005,DENND2D,-0.015335294114613384,0.015335294114613384,14
rna_module_005,PPP1CA,-0.0152697704855103,0.0152697704855103,15
rna_module_005,AC079915,0.015266668134553334,0.015266668134553334,16
rna_module_005,AC079174,0.01520081039005341,0.01520081039005341,17
rna_module_005,MIR148B,0.015193313988149834,0.015193313988149834,18
rna_module_005,RPL31P61,0.015128715163970734,0.015128715163970734,19
rna_module_005,CTBS,-0.015104120820582224,0.015104120820582224,20
rna_module_005,AP001381,0.015062814325366214,0.015062814325366214,21
rna_module_005,AC104841,0.015028156494259572,0.015028156494259572,22
rna_module_005,RPL21P44,0.015017818915226903,0.015017818915226903,23
rna_module_005,AC078777,0.014847933323465623,0.014847933323465623,24
rna_module_005,KIRREL1-IT1,0.014739951717734477,0.014739951717734477,25
rna_module_006,PPP1R37,0.019143814671303792,0.019143814671303792,1
rna_module_006,BICRA,0.01908365970138377,0.01908365970138377,2
